AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HTDD,HX01,HX02,LN01,LN02,LX01,LX02,MN01,MN02,MX01,MX02,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG,county,date,year
,,,105,71.33333333,9,17.33333333,6.333333333,,,,,,14.5,,31.5,,110.3333333,102.6666667,75.43333333,,,,,,,,,,,,,,,,,,,,,,,,,,,918,397.6666667,,,,,,,,,,,Tazewell County,2002-01-01T00:00:00,2002
,855,855,101,81,19,,6,0,108,6,173,53,5,,2,-16.7,,102,112.3,36.7,,0,-3.3,-4.4,-7.2,-9.4,0,-3.9,-4.4,-7.2,-11.7,2267.8,,,2267.8,,,,,,,,,,,1563,415,13.89,20.14,7.64,,,,,,,,Union County,2002-01-01T00:00:00,2002
,683.25,683.25,111.75,75.75,11,14.5,6.666666667,0,114,18,154.5,28,15,,33.5,-15.85,171.25,177.6666667,97.45,35.3,,-1.95,-2.2,-6.1,-7.75,-10,-1.7,-4.2,-5.6,-12.25,-12.25,2751.95,,,2751.95,,,,,,,,,,,1115.325,582.3333333,11.765,17.22,6.315,,,,,,,,Vermilion County,2002-01-01T00:00:00,2002
,597.2,597.2,87.5,57.5,11,19.5,5.5,2,138,28,146,38,13,,4,-22.8,203,178,63.9,34.4,,-0.6,-5.6,-5.6,-6.7,-12.2,-2.2,-2.2,-6.1,-7.8,-9.4,3018.4,29.4,25.6,3018.4,35.6,36.1,-4.4,-3.3,-1.7,-2.2,11,10.5,15.6,13.4,864.95,466,10.52,16.54,4.51,,,,,,,,Warren County,2002-01-01T00:00:00,2002
,917.75,917.75,102,70.66666667,10.66666667,20,5.333333333,0,102,13.5,164.5,59,2,,24.5,-15.3,203,127,62.13333333,36.95,,-0.6,-3.35,-4.4,-8.05,-9.4,-0.6,-2.5,-5.85,-7.25,-13.6,2336,,,2336,,,,,,,,,,,1025.733333,375,13.61,19.19,8.025,,,,,,,,Washington County,2002-01-01T00:00:00,2002
,907.5,907.5,97.66666667,76.33333333,13.33333333,9,5.333333333,1,111,11,167,67,2,,17,-17.8,178,169.3333333,70.36666667,38.9,,-0.6,-4.4,-4.4,-7.2,-10,0,-4.4,-4.4,-9.4,-9.4,2436.3,,,2436.3,,,,,,,,,,,1169.3,406.6666667,13.5,19.59,7.41,,,,,,,,Wayne County,2002-01-01T00:00:00,2002
,,,116,77,14,,8,0,92,9,171,70,7,,34,-12.2,,135,74.7,37.8,,0,-6.7,-6.7,-6.7,-10,-3.9,-3.9,-4.4,-6.7,-11.7,,,,,,,,,,,,,,,1192.5,529,14.18,20.31,8.05,,,,,,,,White County,2002-01-01T00:00:00,2002
,546.35,546.35,87.2,58.6,6.8,26.5,5.8,1.666666667,136.3333333,26.66666667,145,27,5.5,,22.66666667,-22.6,196.75,139.8,85.12,35,,-1.3,-3.866666667,-4.6,-7.233333333,-11.66666667,-3.7,-5.2,-5.2,-7.6,-9.8,3093.5,,,3093.5,,,,,,,,,,,789.62,430.4,10.33333333,16.18666667,4.48,,,,,,,,Whiteside County,2002-01-01T00:00:00,2002
,612.1,612.1,106.25,63,4.75,31.5,8,2,122.5,27.5,142,27.5,3,,16.66666667,-23.35,165,142.25,72.6,35.85,,-0.55,-2.75,-5.8,-7.75,-10,-1.95,-4.15,-4.4,-10,-10,3174,,,3174,,,,,,,,,,,788.875,569.25,10.74,15.975,5.515,,,,,,,,Will County,2002-01-01T00:00:00,2002
4.1,534.3,534.3,101,58,6,,9.5,2,143,32,140,24,102,12,25,-23.9,,194.5,96.5,36.7,,-0.6,-2.2,-5,-6.7,-10,-1.7,-6.7,-6.7,-6.7,-10.6,3380.5,27.8,25,3380.5,33.3,32.2,-7.8,-6.1,-5,-3.9,7.3,8.8,12.4,11.3,852.1,788,9.8,15.31,4.3,200,240,,,58.1,46.5,,Winnebago County,2002-01-01T00:00:00,2002
,576.15,576.15,94.33333333,61.33333333,9,19,6,1.5,144.5,22.5,150,35,10.5,,15.66666667,-21.4,152.6666667,124,95.9,36.1,,-0.55,-3.6,-4.4,-10.3,-10.3,-1.95,-3.9,-5.6,-7.5,-10.6,3016.65,,,3016.65,,,,,,,,,,,858.7333333,416.3333333,10.675,16.96,4.39,,,,,,,,Woodford County,2002-01-01T00:00:00,2002
4.1,503.1,503.1,112,62,9,,,5,112,40,161,21,92.5,29,58,-21.7,,,63.2,37.8,,-1.7,-3.9,-5,-8.3,-11.1,-0.6,-2.2,-8.3,-8.3,-11.7,3127.85,,,3127.85,,,,,,,,,,,826.1,,11.03,16.53,5.53,330,320,,,20.1,31.3,,Adams County,2003-01-01T00:00:00,2003
,695.2,695.2,,,,,,1.5,82,16,193,28,3,,,-18.35,,,,36.1,,-1.1,-2.2,-4.4,-7.2,,-1.4,-6.15,-6.15,-7.8,-9.75,2490,,,2490,,,,,,,,,,,,,13.86,19.105,8.61,,,,,,,,Alexander County,2003-01-01T00:00:00,2003
,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bond County,2003-01-01T00:00:00,2003
,,,102,56,7,21,7,,,,,,2,,,,152,109,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,720.7,386,,,,,,,,,,,Boone County,2003-01-01T00:00:00,2003
,,,,,,,,,,,,,6,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown County,2003-01-01T00:00:00,2003
,435.2,435.2,103.6666667,60,11.66666667,22.66666667,5.666666667,6.5,130.5,48.33333333,149.3333333,16.66666667,24.5,,18.5,-20.3,144,132,69,36.13333333,,-3.05,-3.05,-6.95,-6.95,-11.4,0,-2.5,-4.4,-9.4,-9.4,3654.233333,25.6,,3654.233333,27.8,,-5.6,,-5.6,,9.1,,10.5,,889.8666667,476.3333333,9.795,15.48333333,3.875,,,,,,,,Bureau County,2003-01-01T00:00:00,2003
,350.6,350.6,98,55,7.5,28.5,8.5,14,150,51,149,17,15,,25,-22.2,165,110.5,56.65,35.6,,-2.2,-2.2,-6.7,-6.7,-10,-1.1,-2.8,-5.6,-9.4,-9.4,3856.3,,,3856.3,,,,,,,,,,,781.6,510.5,8.7,15.46,1.94,,,,,,,,Carroll County,2003-01-01T00:00:00,2003
,,,103,62,4,36,12,,,,,,32,,33,,152,135,108.2,,,,,,,,,,,,,,,,,,,,,,,,,,,876.6,829,,,,,,,,,,,Cass County,2003-01-01T00:00:00,2003
4.6,438.4,438.4,111.1428571,65.57142857,11,39.8,9.857142857,8,122.5,45,168,17.33333333,46.33333333,,26.33333333,-22.8,101.6,116,86.74285714,36.13333333,,-2.5,-3.9,-5.3,-8.3,-10.6,0,-3.3,-6.7,-8.05,-12.8,3272.266667,,,3272.266667,,,,,,,,,,,1043.657143,587.4285714,10.58,16.45,4.9,260,230,,,19.2,27.3,,Champaign County,2003-01-01T00:00:00,2003
,429.8,429.8,109.3333333,58.33333333,11,23,6.333333333,6,127,39,167.5,19,6,,10,-20,84.66666667,76.33333333,118.3333333,35.55,,-1.1,-5,-5,-6.7,-10.6,-1.1,-2.8,-4.4,-7.2,-11.1,3286.6,,,3286.6,,,,,,,,,,,1091.1,364.3333333,10.73,16.885,4.91,,,,,,,,Christian County,2003-01-01T00:00:00,2003
,,,83,59.5,10.5,,5,,,,,,,,1,,,53,103.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.35,247,,,,,,,,,,,Clark County,2003-01-01T00:00:00,2003
,548.15,548.15,105.6666667,81.66666667,8.666666667,15.5,6.333333333,2.5,108.5,30.5,178.5,25,12,,33,-19.15,114.5,102,58.23333333,36.7,,-1.4,-2.2,-5,-7.8,-9.15,-1.4,-3.35,-8.05,-8.05,-9.45,2936.85,,,2936.85,,,,,,,,,,,1103.566667,379.6666667,12,17.805,6.195,,,,,,,,Clay County,2003-01-01T00:00:00,2003
,,,83,67,14,17,6,,,,,,,,15,,127,107,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1105,407,,,,,,,,,,,Clinton County,2003-01-01T00:00:00,2003
4.2,521.3,521.3,120.6666667,60.66666667,9,43.5,11,4.5,107.5,34,172,20.5,17.5,,22.5,-21.7,89,93,93.23333333,35.55,,-2.25,-2.5,-5,-6.7,-9.4,-0.6,-4.45,-7.2,-8.85,-10.25,3029.7,,,3029.7,,,,,,,,,,,922.1,589,11.63,17.12,6.135,200,200,,,33.1,38.9,,Coles County,2003-01-01T00:00:00,2003
4.1,386.2625,386.2625,114.5555556,62,9.111111111,30.57142857,7.285714286,4.625,126,54.25,135.25,11.875,79.4,13,27.6,-21.0375,145.1428571,105.2857143,57.08888889,35.5625,,-0.7125,-3.1,-5.6125,-8.5375,-10.8875,-1,-3.675,-5.675,-8.05,-14.375,3688.2625,27.8,23.9,3688.2625,35.6,28.3,-5,-3.9,-3.9,-2.2,9.1,9.8,13.2,11.4,866.3666667,512.7142857,9.315,14.5825,4.045,306.6666667,283.3333333,,,19.23333333,24.86666667,,Cook County,2003-01-01T00:00:00,2003
,561.55,561.55,123,80.66666667,11.33333333,24,5.333333333,6,107,21.5,192.5,27,49,,32,-20.85,102,98.33333333,69.53333333,35.3,,-0.85,-2.2,-5,-8.05,-11.95,-0.6,-2.2,-5.8,-6.95,-14.7,2955.8,,,2955.8,,,,,,,,,,,1082.4,391.6666667,12.07,18.315,5.815,,,,,,,,Crawford County,2003-01-01T00:00:00,2003
,,,108,75,12,,,,,,,,2,,,,,,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.3,,,,,,,,,,,,Cumberland County,2003-01-01T00:00:00,2003
,,,99.5,56.5,7,27,6.5,,,,,,63,,45,,152.5,135.5,53.45,,,,,,,,,,,,,3930.9,,,3930.9,,,,,,,,,,,784.35,511,,,,,,,,,,,DeKalb County,2003-01-01T00:00:00,2003
,,,113,66,5,,,,,,,,,,,,,,105.2,,,,,,,,,,,,,,,,,,,,,,,,,,,963,,,,,,,,,,,,De Witt County,2003-01-01T00:00:00,2003
,478.3,478.3,108,61.5,11.5,37,9,9,121,41,168,19,10,,24,-21.1,76,124.5,102.25,36.1,,-2.2,-2.2,-4.4,-6.7,-10,0,-5,-5,-7.2,-11.7,3323.3,,,3323.3,,,,,,,,,,,959.35,683,10.87,16.62,5.13,,,,,,,,Douglas County,2003-01-01T00:00:00,2003
4.15,373.1,373.1,117.25,60.75,8.25,30.66666667,4.666666667,3,128,57,137,10,59.33333333,13,24.25,-21.7,143.6666667,89,51.425,35,,-0.6,-3.3,-6.1,-6.7,-10,-1.1,-3.3,-4.4,-8.3,-16.7,3665.966667,,,3665.966667,,,,,,,,,,,847.6,426.3333333,9.35,14.55,4.16,270,280,,,19,25.05,,DuPage County,2003-01-01T00:00:00,2003
,515.1,515.1,116,74,13,,20,7,117,45,163,15,20,,34,-21.7,,76,100.8,35,,-1.7,-3.3,-4.4,-9.4,-9.4,0,-2.8,-5.6,-11.7,-11.7,3236.9,,,3236.9,,,,,,,,,,,1086.2,763,11.04,16.39,5.69,,,,,,,,Edgar County,2003-01-01T00:00:00,2003
,627.7,627.7,127,87,4,,8,1,98,23,192,31,43,,7,-17.8,,160,40.6,36.7,,0,-3.3,-7.8,-7.8,,0,-2.2,-5,-8.3,-12.8,2730,,,2730,,,,,,,,,,,1020,578,12.72,18.4,7.03,,,,,,,,Edwards County,2003-01-01T00:00:00,2003
,551.1,551.1,125.3333333,78.33333333,13,18.5,7.666666667,4,112,32,183,28,15,,45,-20,89,93.33333333,53.83333333,37.2,,-1.1,-2.2,-5.6,-8.9,-8.9,0,-3.9,-8.9,-8.9,-8.9,3148.5,,,3148.5,,,,,,,,,,,1049.133333,483,11.57,17.68,5.46,,,,,,,,Effingham County,2003-01-01T00:00:00,2003
,443.6,443.6,115.5,71,13.5,,8,6,121,31,172,18,33.5,,27,-18.9,,90.5,77.45,35.3,,-2.2,-2.2,-4.4,-7.2,-10,-1.1,-2.2,-10,-10,-10,3217.4,30,29.4,3217.4,32.2,31.1,-2.8,-3.9,-1.1,-2.2,14.1,13,15.1,14,1139.8,488.5,11.01,17.12,5.2,,,,,,,,Fayette County,2003-01-01T00:00:00,2003
,365.9,365.9,110.3333333,67.33333333,9.666666667,40.33333333,11,8,130,50.33333333,156.6666667,11.66666667,41.5,,19.5,-23.9,144,120.3333333,65.03333333,35.36666667,,-3.533333333,-3.533333333,-5.933333333,-7.233333333,-11.1,-1.466666667,-2.4,-4.6,-9.066666667,-12.4,3602.1,,,3602.1,,,,,,,,,,,997.3,606.6666667,9.626666667,15.62666667,3.626666667,,,,,,,,Ford County,2003-01-01T00:00:00,2003
,,,95.66666667,71,8,5.5,2.333333333,,,,,,3,,22,,51,46.66666667,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,990.4,155.6666667,,,,,,,,,,,Franklin County,2003-01-01T00:00:00,2003
,438.7,438.7,86.66666667,64.33333333,8.666666667,43,13.33333333,8,146,47,163,25,41,,26.5,-23.3,127,140.6666667,68.73333333,38.3,,-0.6,-5.6,-5.6,-6.7,-8.9,-0.6,-2.8,-4.4,-7.2,-12.2,3572,,,3572,,,,,,,,,,,940.8333333,876.6666667,9.96,16.78,3.16,,,,,,,,Fulton County,2003-01-01T00:00:00,2003
,,,109,88,9,1,7,,,,,,,,,,25,89,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1138.6,353,,,,,,,,,,,Gallatin County,2003-01-01T00:00:00,2003
,,,97,65,10,13,5,,,,,,29,,25.5,,76,76,110,,,,,,,,,,,,,,,,,,,,,,,,,,,995.7,396,,,,,,,,,,,Greene County,2003-01-01T00:00:00,2003
,416.9,416.9,103,59,11,18,5,6,126,45,146,16.5,6,,2.5,-22.75,76,47,57.65,35.6,,-1.4,-3.05,-6.65,-9.15,-11.4,-1.7,-2.2,-5,-12.2,-12.2,3496.95,,,3496.95,,,,,,,,,,,905.15,272,9.835,15.68,3.98,,,,,,,,Grundy County,2003-01-01T00:00:00,2003
,526.35,526.35,91.83333333,62.5,10,32.5,9.8,6,121.5,37.75,162,20.75,9,,24.5,-21.375,165,132.2,81.61666667,38.05,,-1.925,-3.025,-5.55,-7.1,-10.425,-1.275,-2.5,-6.375,-9.725,-12.775,3309.425,,,3309.425,,,,,,,,,,,1000.883333,659,10.7275,16.61,4.84,,,,,,,,Hancock County,2003-01-01T00:00:00,2003
,,,105,79,13,,1,,,,,,3,,4,,,25,85.9,,,,,,,,,,,,,2448.2,,,2448.2,,,,,,,,,,,1353.3,38,,,,,,,,,,,Hardin County,2003-01-01T00:00:00,2003
,518,518,95,55,10,,2,7,123,42,159,25,5,,,-20,,127,70.1,37.2,,-1.1,-3.3,-5,-7.2,-10.6,-1.7,-2.2,-8.3,-8.3,-12.8,3416.8,,,3416.8,,,,,,,,,,,851.6,184,10.33,16.04,4.62,,,,,,,,Henderson County,2003-01-01T00:00:00,2003
,427.3,427.3,92.25,54.75,11.5,27,8.666666667,6,135,51.5,149,15.5,21.5,,10.5,-23.05,178,160.6666667,72.65,35.3,,-1.95,-3.05,-6.35,-8.05,-10.55,-0.55,-3.6,-4.4,-9.45,-9.45,3672.8,,,3672.8,,,,,,,,,,,881.125,543.6666667,9.575,15.325,3.825,,,,,,,,Henry County,2003-01-01T00:00:00,2003
,371.6,371.6,111,66,9,35,7,10,127,53,152,11,15.5,,19.5,-26.1,102,114,54.9,35,,-1.7,-2.8,-5.6,-6.7,-11.1,0,-2.2,-5,-7.2,-13.9,3388.9,25.6,26.7,3388.9,43.3,35,-6.7,-6.1,-3.9,-2.2,7.8,10.9,17.2,14.6,1016.7,635,9.74,15.63,3.85,,,,,,,,Iroquois County,2003-01-01T00:00:00,2003
3.3,619.8,619.8,117.3333333,70.33333333,8.666666667,19.5,5.666666667,1.5,96.5,17,192,29,34,,18,-21.4,127,114.3333333,58.43333333,37.8,,-0.3,-2.8,-4.4,-6.95,,-2.2,-3.05,-6.7,-6.7,-11.7,2712,,,2712,,,,,,,,,,,992.9333333,337.3333333,12.945,18.83,7.055,350,360,,,19.2,28.2,,Jackson County,2003-01-01T00:00:00,2003
,550.9,550.9,125,81,10,21,9,3,105,29,176,21,9.5,,16.66666667,-19.4,76,81,72.1,36.1,,-2.2,-2.2,-4.4,-10,-10,-0.6,-3.9,-10.6,-10.6,-10.6,2888.2,,,2888.2,,,,,,,,,,,1109.9,501,11.9,17.57,6.23,,,,,,,,Jasper County,2003-01-01T00:00:00,2003
,549.2,549.2,98.33333333,67,10,24,5.666666667,2,95,23,164,18,18,,21,-22.2,152,114.3333333,54.8,35,,-0.6,-2.8,-4.4,-8.9,-8.9,-3.9,-3.9,-7.2,-7.2,-9.4,2868.9,,,2868.9,,,,,,,,,,,947.1333333,390,12.13,17.47,6.79,,,,,,,,Jefferson County,2003-01-01T00:00:00,2003
,,,,,,,,,,,,,15,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey County,2003-01-01T00:00:00,2003
,,,89.75,55.75,8.5,43.25,8,18,133,57,146,21,21,,28,-21.7,171.5,161.75,64.45,36.1,,-1.7,-5.6,-5.6,-10.6,-10.6,-1.7,-3.3,-11.1,-11.1,-11.1,,,,,,,,,,,,,,,761.95,564.75,,15.08,2.67,,,,,,,,Jo Daviess County,2003-01-01T00:00:00,2003
4.1,350.35,350.35,114.3333333,62,9.666666667,23.66666667,6.666666667,10,138,52.66666667,142.3333333,11.33333333,5.333333333,,21.5,-22.75,160.6666667,144,53.93333333,35.2,,-2.5,-3.3,-6.1,-7.5,-11.35,-0.85,-3.6,-4.7,-8.6,-13.3,3809.15,,,3809.15,,,,,,,,,,,861,490.3333333,8.935,15.04,3.05,250,350,,,20.1,26.4,,Kane County,2003-01-01T00:00:00,2003
,448,448,112.25,67.5,10.75,42.5,9.75,8,124,43,158,17,14.5,,23.75,-21.7,152,140,57.1,36.1,,-0.6,-3.3,-5,-10.6,-10.6,0,-2.2,-4.4,-7.8,-13.9,3433.7,,,3433.7,,,,,,,,,,,973.1,710.5,10.22,16.07,4.37,,,,,,,,Kankakee County,2003-01-01T00:00:00,2003
,,,106,63.5,9,25,5.5,,,,,,,,,,114.5,108,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,,874.65,413,,,,,,,,,,,Kendall County,2003-01-01T00:00:00,2003
,,,98.75,54.25,9.5,41.33333333,10.33333333,,,,,,22.5,,14.75,,144,109,76.425,,,,,,,,,,,,,,,,,,,,,,,,,,,891.45,541,,,,,,,,,,,Knox County,2003-01-01T00:00:00,2003
3.8,319.02,319.02,115.1666667,60.83333333,8.166666667,26.4,6.6,7.8,132.6,59.4,125.8,8,49.8,,25.8,-21.88,147,128.6,44.81666667,34.64,,-1.56,-2.98,-6.9,-7.9,-13.12,-0.68,-2.88,-4.98,-7.22,-14.92,3970.7,,,3970.7,,,,,,,,,,,812.2166667,495,8.47,13.728,3.21,220,220,,,17.4,23.7,,Lake County,2003-01-01T00:00:00,2003
,409.8,409.8,112.1428571,61.85714286,9.428571429,28.33333333,7.142857143,6.8,134.2,45.8,155.2,16.4,9.833333333,,18.33333333,-22.34,122.5,123.8571429,45.27142857,35.78,,-3,-4.32,-6.1,-7.24,-11.46,-0.56,-2.54,-4.64,-10.78,-12,3587.28,25.6,,3587.28,27.8,,-5.6,,-5.6,,9.1,,10.5,,821.0428571,526.8571429,9.756,15.874,3.642,,,,,,,,La Salle County,2003-01-01T00:00:00,2003
3.8,625.2,625.2,112.5,71.5,12.5,35,12,3,99,27,186,24,25,,3,-18.9,178,165,59.65,36.7,,-1.1,-2.8,-7.2,-7.2,-9.4,0,-2.2,-7.2,-7.2,-9.4,2909.7,,,2909.7,,,,,,,,,,,1037.7,676,12.64,18.27,7.02,240,250,,,20.1,26.4,,Lawrence County,2003-01-01T00:00:00,2003
,414.4,414.4,89,54,6.333333333,33.33333333,8.666666667,12,141.5,52,145,15,30.66666667,,27,-21.7,160.6666667,133.6666667,70,36.7,,-0.3,-3.9,-5.55,-9.15,-9.45,0,-3.35,-5.25,-8.35,-13.6,3867.5,,,3867.5,,,,,,,,,,,749.3,608,9.14,15.07,2.84,,,,,,,,Lee County,2003-01-01T00:00:00,2003
,379.1,379.1,95.83333333,63.83333333,8.833333333,33.4,8.333333333,8.333333333,131.6666667,47,155,14.33333333,30.66666667,,12.5,-23.16666667,167.6,135.3333333,61.2,36.33333333,,-2.4,-3.133333333,-5.566666667,-6.7,-10.93333333,-0.733333333,-2.6,-4.4,-8.133333333,-11.3,3593.866667,,,3593.866667,,,,,,,,,,,873.6,547,9.653333333,15.74666667,3.563333333,,,,,,,,Livingston County,2003-01-01T00:00:00,2003
,432.8,432.8,106.3333333,62,7.333333333,31,10.33333333,5,127,41,166,17,58.5,,32,-25.6,101.6666667,104.3333333,108.4666667,37.8,,-3.3,-3.3,-4.4,-6.7,-11.1,0,-2.2,-4.4,-9.4,-9.4,3407.3,26.1,,3407.3,30,,-1.1,,-1.1,,11.1,,13.8,,919.8666667,570.3333333,10.45,16.65,4.25,,,,,,,,Logan County,2003-01-01T00:00:00,2003
,,,100.5,60,9,33,10,,,,,,26,,12,,102,76,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,939.75,510,,,,,,,,,,,McDonough County,2003-01-01T00:00:00,2003
,,,91,56,6.5,21,7,,,,,,28.75,,18,,127,103,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,719.25,407.5,,,,,,,,,,,McHenry County,2003-01-01T00:00:00,2003
,488.65,488.65,87.5,61.5,9.25,,7,6.5,121.5,38.5,172.5,25.5,5,,12.5,-22.2,,157,107.75,36.7,,-2.5,-2.5,-5.55,-6.95,-11.65,-0.85,-2.2,-6.35,-8.6,-11.1,3272.4,,,3272.4,,,,,,,,,,,959.425,512,10.775,17.07,4.485,,,,,,,,McLean County,2003-01-01T00:00:00,2003
4.5,507.5,507.5,108.3333333,59.66666667,7.333333333,35,8.5,4.5,114,34,173,20,2,,9.5,-21.65,76,73.5,85.43333333,36.4,,-2.5,-3.35,-6.4,-7.5,-11.1,-0.6,-2.5,-6.95,-11.1,-11.1,3077.25,,,3077.25,,,,,,,,,,,865.7333333,445.5,11.435,17.215,5.65,200,320,,,18.3,21.5,,Macon County,2003-01-01T00:00:00,2003
,618.2,618.2,79,59,11,23,6.333333333,3,96,27,176,22,1,,27,-20,76,88,87.66666667,36.7,,-0.6,-2.8,-4.4,-8.3,-10.6,-1.7,-2.8,-7.8,-7.8,-11.1,2883.1,,,2883.1,,,,,,,,,,,967.0666667,368.6666667,12.27,17.6,6.95,,,,,,,,Macoupin County,2003-01-01T00:00:00,2003
,619.4,619.4,101.3333333,75,11.66666667,17,4.333333333,1,91,32,163,17,,,23,-17.8,102,63.66666667,89.33333333,37.8,,-0.6,-2.8,-4.4,-6.7,-8.9,-5,-5,-5,-9.4,-9.4,2862.6,,,2862.6,,,,,,,,,,,1208.833333,287.3333333,12.36,17.06,7.66,,,,,,,,Madison County,2003-01-01T00:00:00,2003
,555.1,555.1,107,74.33333333,12,23,7.333333333,4,113,30.5,178.5,28.5,36.5,,28.33333333,-21.65,152.3333333,144.6666667,54.53333333,37.25,,-1.95,-2.2,-4.7,-7.25,-9.45,-1.1,-2.5,-5.55,-9.45,-9.45,3049.35,29.4,,3049.35,38.3,,-3.9,,-1.7,,12.3,,17.4,,1091.066667,557,11.785,17.715,5.855,,,,,,,,Marion County,2003-01-01T00:00:00,2003
,521.6,521.6,104.5,57.5,11,21.5,6.333333333,5,127,36,168,21,41.5,,28,-24.4,127,100.6666667,79.65,36.7,,-4.4,-4.4,-4.4,-7.2,-11.1,-1.7,-2.2,-5.6,-10.6,-10.6,3245.4,,,3245.4,,,,,,,,,,,896.55,446.3333333,11.03,17.17,4.89,,,,,,,,Marshall County,2003-01-01T00:00:00,2003
,438.7,438.7,85,66,12,,17,8,146,47,163,25,44,,14.5,-23.3,,145,66,38.3,,-0.6,-5.6,-5.6,-6.7,-8.9,-0.6,-2.8,-4.4,-7.2,-12.2,3572,,,3572,,,,,,,,,,,1040.7,1176,9.96,16.78,3.16,,,,,,,,Mason County,2003-01-01T00:00:00,2003
,,,110,83,14,,2,,,13,199,25,,,,,,64,69.9,36.1,,,,,,,,,,,,2191.3,,,2191.3,,,,,,,,,,,1324.9,102,,19.55,,,,,,,,,Massac County,2003-01-01T00:00:00,2003
,462.1,462.1,102.5,60,6,32,7.5,7,121,40,167,15,26,,21.33333333,-21.7,114.5,109,83.1,36.7,,-2.8,-2.8,-4.4,-6.7,-11.7,0,-4.4,-4.4,-8.3,-11.7,3257,,,3257,,,,,,,,,,,906.7,499,10.83,16.7,4.94,,,,,,,,Menard County,2003-01-01T00:00:00,2003
,450.15,450.15,88,57,8.5,,0,7,131.5,47,150,22,13,,17,-21.4,,0,124.95,36.15,,-1.65,-2.2,-5.85,-7.25,-9.4,-1.95,-3.3,-5.8,-8.9,-11.95,3562.15,,,3562.15,,,,,,,,,,,915.35,0,9.695,15.65,3.74,,,,,,,,Mercer County,2003-01-01T00:00:00,2003
,,,89,61,12,,4,2,99,,,,1,,4,-18.3,,51,87.6,,,-1.1,-2.2,-5.6,-7.8,-9.4,-1.1,-3.3,-11.1,-11.1,-11.1,,,,,,,,,,,,,,,1011.9,165,,,7.13,,,,,,,,Montgomery County,2003-01-01T00:00:00,2003
,408.4,408.4,103,61,10,,8,4,133,34,176,22,11,,15,-20.6,,89,70.4,36.7,,-3.3,-3.3,-5.6,-7.8,-9.4,-1.1,-3.3,-4.4,-8.9,-8.9,3330.9,,,3330.9,,,,,,,,,,,950.7,570,10.58,17.17,4,,,,,,,,Morgan County,2003-01-01T00:00:00,2003
,439.6,439.6,101,57,13,,7,4,117,38,164,20,3,,,-21.1,,81.5,98.6,37.8,,-2.8,-2.8,-5,-7.8,-10.6,0,-2.2,-6.1,-11.1,-11.1,3139.3,,,3139.3,,,,,,,,,,,913.1,448,10.76,16.6,4.93,,,,,,,,Moultrie County,2003-01-01T00:00:00,2003
,379.8,379.8,104.5,52.5,4.5,28,6.5,11,139,52,149,14,63.33333333,,30.66666667,-23.9,114.5,86.5,51.8,35,,-1.7,-2.2,-7.2,-7.2,-10,-1.7,-3.9,-5.6,-8.3,-10.6,3805.9,,,3805.9,,,,,,,,,,,691.2,483.5,9.32,15.58,3.07,,,,,,,,Ogle County,2003-01-01T00:00:00,2003
3.6,472.65,472.65,94.75,56.25,9.25,23,7.25,6,131,46,159,19.5,126,23,43,-22.8,139.5,99,68.025,36.4,,-1.4,-3.9,-4.7,-8.05,-9.75,-1.65,-4.45,-5.3,-8.35,-10.85,3488.75,,,3488.75,,,,,,,,,,,805.325,451.5,10.275,16.225,4.33,210,230,,,20.1,28.6,,Peoria County,2003-01-01T00:00:00,2003
,650.5,650.5,105.3333333,74.66666667,8.666666667,21,7,1.5,95,17,193.5,30,17.5,,28,-21.95,127,106,62.73333333,37.5,,-0.6,-2.5,-5,-7.5,,-1.65,-2.5,-7.25,-7.25,-12.5,2689.35,,,2689.35,,,,,,,,,,,1001.466667,369.6666667,13.05,18.91,7.19,,,,,,,,Perry County,2003-01-01T00:00:00,2003
,,,92.5,55.5,9,19,7,,,,,,11,,21,,63.5,61,100.55,,,,,,,,,,,,,,,,,,,,,,,,,,,855,375.5,,,,,,,,,,,Piatt County,2003-01-01T00:00:00,2003
