County,Year,GPP
OGLE,2014,294.7560322
OGLE,2015,410.3428737
OGLE,2016,363.6507014
OGLE,2017,450.4768581
OGLE,2018,221.8679049
OGLE,2019,375.1685922
OGLE,2020,364.9789966
DU PAGE,2000,325.2516361
DU PAGE,2001,400.8071009
DU PAGE,2002,396.6821879
DU PAGE,2003,293.0209489
DU PAGE,2004,433.0109035
DU PAGE,2005,437.6611808
DU PAGE,2006,412.6133569
DU PAGE,2007,367.3763695
DU PAGE,2008,331.6540704
DU PAGE,2009,285.9132343
DU PAGE,2010,471.8183189
DU PAGE,2011,335.1171318
DU PAGE,2012,500.2816313
DU PAGE,2013,300.0570045
DU PAGE,2014,384.2072265
DU PAGE,2015,441.3476574
DU PAGE,2016,407.5093992
DU PAGE,2017,530.5593786
DU PAGE,2018,258.2453973
DU PAGE,2019,390.6161529
DU PAGE,2020,439.0137387
LAKE,2000,384.0352121
LAKE,2001,444.0087166
LAKE,2002,423.8600718
LAKE,2003,292.747478
LAKE,2004,431.5818056
LAKE,2005,460.261199
LAKE,2006,473.6449058
LAKE,2007,378.7378965
LAKE,2008,364.6547338
LAKE,2009,311.7193251
LAKE,2010,523.8280467
LAKE,2011,329.8899463
LAKE,2012,473.0092016
LAKE,2013,284.7830366
LAKE,2014,362.5231998
LAKE,2015,480.2398642
LAKE,2016,425.0009622
LAKE,2017,539.0130808
LAKE,2018,269.3932954
LAKE,2019,407.8954011
LAKE,2020,475.299655
CASS,2000,325.4413144
CASS,2001,300.2345487
CASS,2002,362.364475
CASS,2003,344.8869905
CASS,2004,333.460908
CASS,2005,416.9707929
CASS,2006,292.127784
CASS,2007,343.5492116
CASS,2008,347.5507696
CASS,2009,332.6367377
CASS,2010,377.5206809
CASS,2011,380.7190382
CASS,2012,443.1571879
CASS,2013,434.7771258
CASS,2014,436.5900162
CASS,2015,440.3291216
CASS,2016,448.3200294
CASS,2017,464.4644364
CASS,2018,336.2937347
CASS,2019,494.02363
CASS,2020,452.1396406
LAWRENCE,2000,485.249208
LAWRENCE,2001,422.8335803
LAWRENCE,2002,448.5405776
LAWRENCE,2003,521.5712475
LAWRENCE,2004,449.2817665
LAWRENCE,2005,505.2975201
LAWRENCE,2006,422.8312805
LAWRENCE,2007,453.6830243
LAWRENCE,2008,647.0583496
LAWRENCE,2009,528.0550242
LAWRENCE,2010,487.0039572
LAWRENCE,2011,507.9272166
LAWRENCE,2012,582.8802759
LAWRENCE,2013,550.0265526
LAWRENCE,2014,486.81152
LAWRENCE,2015,489.0842024
LAWRENCE,2016,576.5907703
LAWRENCE,2017,475.4227523
LAWRENCE,2018,394.3350978
LAWRENCE,2019,617.7313011
LAWRENCE,2020,514.4563352
CHAMPAIGN,2000,215.2396076
CHAMPAIGN,2001,222.7712409
CHAMPAIGN,2002,337.9551384
CHAMPAIGN,2003,251.5604092
CHAMPAIGN,2004,232.4408898
CHAMPAIGN,2005,298.5056748
CHAMPAIGN,2006,236.8722966
CHAMPAIGN,2007,247.4334866
CHAMPAIGN,2008,280.1125261
CHAMPAIGN,2009,256.2123547
CHAMPAIGN,2010,259.9309759
CHAMPAIGN,2011,348.5431177
CHAMPAIGN,2012,354.8389715
CHAMPAIGN,2013,365.2308841
CHAMPAIGN,2014,296.3339328
CHAMPAIGN,2015,345.8699193
CHAMPAIGN,2016,364.1772503
CHAMPAIGN,2017,428.9939428
CHAMPAIGN,2018,275.5787995
CHAMPAIGN,2019,405.7147239
CHAMPAIGN,2020,357.1332459
FORD,2000,208.060817
FORD,2001,231.9051902
FORD,2002,312.9056261
FORD,2003,242.0099534
FORD,2004,219.7811629
FORD,2005,289.3539054
FORD,2006,243.4678689
FORD,2007,235.2640821
FORD,2008,263.4576062
FORD,2009,220.3775826
FORD,2010,233.1040867
FORD,2011,306.1789541
FORD,2012,338.6316023
FORD,2013,307.9747854
FORD,2014,322.5212147
FORD,2015,349.8056185
FORD,2016,343.2941712
FORD,2017,425.3346141
FORD,2018,233.0220271
FORD,2019,355.4616986
FORD,2020,342.9972984
SCOTT,2000,355.4845572
SCOTT,2001,321.5321443
SCOTT,2002,402.2162787
SCOTT,2003,375.2755117
SCOTT,2004,346.2723389
SCOTT,2005,440.7429323
SCOTT,2006,302.6539907
SCOTT,2007,360.3446234
SCOTT,2008,392.5281687
SCOTT,2009,362.6786237
SCOTT,2010,395.7328627
SCOTT,2011,390.1768729
