County,Year,SSM_0,SSM_10,SSM_40,SSM_100
MARSHALL,2017,0.280037747,0.300491926,0.238752855,0.366380131
MARSHALL,2018,0.306025259,0.313369798,0.206953381,0.356742128
MARSHALL,2019,0.334040783,0.366917198,0.310944423,0.37014338
MARSHALL,2020,0.304409933,0.315634806,0.269313036,0.373770397
JERSEY,2000,0.277233761,0.272919527,0.177292951,0.325094874
JERSEY,2001,0.296339977,0.290507537,0.203931,0.325334845
JERSEY,2002,0.284485897,0.323782405,0.286641876,0.362923139
JERSEY,2003,0.302000704,0.301899414,0.209598689,0.361981938
JERSEY,2004,0.308679978,0.328639321,0.284365797,0.34248364
JERSEY,2005,0.295387489,0.304983108,0.208335345,0.364841459
JERSEY,2006,0.284472794,0.292065145,0.205503521,0.354350954
JERSEY,2007,0.283146301,0.264659959,0.198741439,0.340124207
JERSEY,2008,0.335964625,0.335407071,0.26035745,0.349506951
JERSEY,2009,0.32662157,0.350322272,0.311274654,0.346982841
JERSEY,2010,0.336727329,0.348804231,0.307003103,0.365431676
JERSEY,2011,0.334934491,0.333861679,0.22397021,0.344169567
JERSEY,2012,0.296093282,0.293011326,0.191993349,0.325207779
JERSEY,2013,0.32200783,0.315213574,0.208303462,0.345717707
JERSEY,2014,0.309618227,0.32329204,0.214834933,0.345776346
JERSEY,2015,0.325405772,0.351898405,0.327531302,0.348323042
JERSEY,2016,0.320569797,0.318561841,0.263978258,0.35879345
JERSEY,2017,0.250676293,0.260165618,0.227478791,0.352072705
JERSEY,2018,0.286718294,0.26536941,0.184596904,0.342984778
JERSEY,2019,0.336877611,0.348036618,0.297030906,0.357099145
JERSEY,2020,0.310419883,0.312053644,0.279285411,0.369684985
BUREAU,2000,0.271158852,0.297257954,0.180323663,0.339252391
BUREAU,2001,0.306619764,0.304446447,0.193338076,0.335073671
BUREAU,2002,0.274294743,0.307617165,0.240167735,0.340931621
BUREAU,2003,0.259994041,0.293735422,0.149629505,0.340556388
BUREAU,2004,0.276125201,0.31532503,0.213372995,0.336407888
BUREAU,2005,0.266600527,0.249555865,0.179629629,0.331044752
BUREAU,2006,0.282821654,0.294525214,0.174495691,0.328616214
BUREAU,2007,0.275324753,0.26870979,0.213984501,0.331079999
BUREAU,2008,0.305123463,0.313620317,0.21016556,0.329668885
BUREAU,2009,0.332542616,0.360130764,0.309212692,0.356454052
BUREAU,2010,0.318626976,0.3360896,0.32015846,0.37150992
BUREAU,2011,0.31467891,0.340277783,0.181679179,0.357026348
BUREAU,2012,0.266617379,0.28244891,0.186270308,0.348860293
BUREAU,2013,0.319888349,0.327052046,0.176361365,0.352672954
BUREAU,2014,0.307905312,0.306178895,0.184014079,0.352101568
BUREAU,2015,0.306591226,0.321035123,0.193535539,0.348908319
BUREAU,2016,0.307152244,0.321924814,0.279834131,0.354703107
BUREAU,2017,0.288382559,0.305221438,0.246149508,0.363673059
BUREAU,2018,0.307334176,0.309097873,0.225765267,0.355675617
BUREAU,2019,0.34089695,0.372392244,0.327556699,0.371271748
BUREAU,2020,0.312053652,0.325966008,0.274771949,0.374422531
PUTNAM,2000,0.269628964,0.291183483,0.18242396,0.336812483
PUTNAM,2001,0.303726284,0.308423104,0.214747521,0.330997256
PUTNAM,2002,0.273860822,0.298513994,0.234334465,0.339719868
PUTNAM,2003,0.262581791,0.289330043,0.146593533,0.339522556
PUTNAM,2004,0.283249583,0.313792285,0.226043047,0.334948906
PUTNAM,2005,0.267592217,0.249434996,0.181869198,0.334967452
PUTNAM,2006,0.287039816,0.29561131,0.179395398,0.332724315
PUTNAM,2007,0.272551368,0.273573076,0.215782901,0.343769295
PUTNAM,2008,0.296337141,0.309537049,0.216084115,0.341364801
PUTNAM,2009,0.327543383,0.358014566,0.299618194,0.36307953
PUTNAM,2010,0.306588466,0.332873414,0.306961058,0.364034624
PUTNAM,2011,0.3141025,0.332972506,0.179946043,0.352222766
PUTNAM,2012,0.270256359,0.283364444,0.19001568,0.343246891
PUTNAM,2013,0.317473221,0.326061037,0.176779274,0.351901184
PUTNAM,2014,0.299983681,0.302354815,0.194178968,0.351327906
PUTNAM,2015,0.310994615,0.322812883,0.202384065,0.348124967
PUTNAM,2016,0.306519412,0.319541491,0.278201721,0.351485842
PUTNAM,2017,0.280286973,0.301243814,0.242423066,0.365082442
PUTNAM,2018,0.303861928,0.309995876,0.214036912,0.356034201
PUTNAM,2019,0.337178687,0.366068111,0.315752626,0.369059132
PUTNAM,2020,0.308334897,0.31693481,0.271873051,0.375801575
MASON,2000,0.262393449,0.272293849,0.168318095,0.345077081
MASON,2001,0.301055768,0.301931017,0.191897485,0.338086416
MASON,2002,0.277796418,0.307521981,0.227999677,0.353653112
MASON,2003,0.286418553,0.291756705,0.162629584,0.35326498
MASON,2004,0.280114784,0.305290161,0.232216147,0.349070792
MASON,2005,0.277130841,0.298332667,0.192421826,0.360919188
MASON,2006,0.279298577,0.293521686,0.202703384,0.353764602
MASON,2007,0.267116234,0.272999183,0.199488991,0.346154664
MASON,2008,0.309385874,0.321757507,0.257211221,0.340424165
MASON,2009,0.338489563,0.37015725,0.29348129,0.358236404
MASON,2010,0.334454737,0.362227848,0.354460593,0.394695207
MASON,2011,0.3273205,0.343872701,0.230489843,0.362872225
MASON,2012,0.276520055,0.291233355,0.203343883,0.353544021
MASON,2013,0.31954168,0.331423205,0.212885168,0.371111615
MASON,2014,0.30148885,0.306520823,0.212862587,0.37001001
MASON,2015,0.310758365,0.32663807,0.269070466,0.366800778
MASON,2016,0.302650281,0.305104526,0.250448352,0.357521848
MASON,2017,0.265319963,0.287775779,0.204767656,0.350505092
MASON,2018,0.300584222,0.301689342,0.200257171,0.341558372
MASON,2019,0.327737932,0.348595751,0.29382372,0.371699984
MASON,2020,0.297453861,0.30736261,0.262265969,0.370017995
OGLE,2000,0.281857596,0.302244827,0.184846173,0.338116469
OGLE,2001,0.300555173,0.306189501,0.217386714,0.331303611
OGLE,2002,0.281132204,0.312369857,0.243992001,0.342411894
OGLE,2003,0.258453411,0.284949372,0.158724965,0.342763724
OGLE,2004,0.281515126,0.323340524,0.187816585,0.338432183
OGLE,2005,0.266272641,0.266523569,0.172605689,0.335441167
OGLE,2006,0.298526041,0.30208264,0.174025895,0.331098273
OGLE,2007,0.282128654,0.274577573,0.222075503,0.327532598
OGLE,2008,0.325832881,0.32911903,0.211743078,0.324908632
OGLE,2009,0.332868819,0.350673527,0.272223176,0.339349817
OGLE,2010,0.32374583,0.326628264,0.306101646,0.349521665
OGLE,2011,0.317762959,0.325286281,0.199336063,0.344946586
OGLE,2012,0.272832592,0.277056989,0.170784052,0.341099325
